Starting benchmark: Total 9000000 puzzles using 192 workers.
Using 192 workers with chunk_size=5000
Processed 50000 puzzles (50000 successful)
Processed 100000 puzzles (100000 successful)
Processed 150000 puzzles (150000 successful)
Processed 200000 puzzles (200000 successful)
Processed 250000 puzzles (250000 successful)
Processed 300000 puzzles (300000 successful)
Processed 350000 puzzles (350000 successful)
Processed 400000 puzzles (400000 successful)
Processed 450000 puzzles (450000 successful)
Processed 500000 puzzles (500000 successful)
Processed 550000 puzzles (550000 successful)
Processed 600000 puzzles (600000 successful)
Processed 650000 puzzles (650000 successful)
Processed 700000 puzzles (700000 successful)
Processed 750000 puzzles (750000 successful)
Processed 800000 puzzles (800000 successful)
Processed 850000 puzzles (850000 successful)
Processed 900000 puzzles (900000 successful)
Processed 950000 puzzles (950000 successful)
Processed 1000000 puzzles (1000000 successful)
Processed 1050000 puzzles (1050000 successful)
Processed 1100000 puzzles (1100000 successful)
Processed 1150000 puzzles (1150000 successful)
Processed 1200000 puzzles (1200000 successful)
Processed 1250000 puzzles (1250000 successful)
Processed 1300000 puzzles (1300000 successful)
Processed 1350000 puzzles (1350000 successful)
Processed 1400000 puzzles (1400000 successful)
Processed 1450000 puzzles (1450000 successful)
Processed 1500000 puzzles (1500000 successful)
Processed 1550000 puzzles (1550000 successful)
Processed 1600000 puzzles (1600000 successful)
Processed 1650000 puzzles (1650000 successful)
Processed 1700000 puzzles (1700000 successful)
Processed 1750000 puzzles (1750000 successful)
Processed 1800000 puzzles (1800000 successful)
Processed 1850000 puzzles (1850000 successful)
Processed 1900000 puzzles (1900000 successful)
Processed 1950000 puzzles (1950000 successful)
Processed 2000000 puzzles (2000000 successful)
Processed 2050000 puzzles (2050000 successful)
Processed 2100000 puzzles (2100000 successful)
Processed 2150000 puzzles (2150000 successful)
Processed 2200000 puzzles (2200000 successful)
Processed 2250000 puzzles (2250000 successful)
Processed 2300000 puzzles (2300000 successful)
Processed 2350000 puzzles (2350000 successful)
Processed 2400000 puzzles (2400000 successful)
Processed 2450000 puzzles (2450000 successful)
Processed 2500000 puzzles (2500000 successful)
Processed 2550000 puzzles (2550000 successful)
Processed 2600000 puzzles (2600000 successful)
Processed 2650000 puzzles (2650000 successful)
Processed 2700000 puzzles (2700000 successful)
Processed 2750000 puzzles (2750000 successful)
Processed 2800000 puzzles (2800000 successful)
Processed 2850000 puzzles (2850000 successful)
Processed 2900000 puzzles (2900000 successful)
Processed 2950000 puzzles (2950000 successful)
Processed 3000000 puzzles (3000000 successful)
Processed 3050000 puzzles (3050000 successful)
Processed 3100000 puzzles (3100000 successful)
Processed 3150000 puzzles (3150000 successful)
Processed 3200000 puzzles (3200000 successful)
Processed 3250000 puzzles (3250000 successful)
Processed 3300000 puzzles (3300000 successful)
Processed 3350000 puzzles (3350000 successful)
Processed 3400000 puzzles (3400000 successful)
Processed 3450000 puzzles (3450000 successful)
Processed 3500000 puzzles (3500000 successful)
Processed 3550000 puzzles (3550000 successful)
Processed 3600000 puzzles (3600000 successful)
Processed 3650000 puzzles (3650000 successful)
Processed 3700000 puzzles (3700000 successful)
Processed 3750000 puzzles (3750000 successful)
Processed 3800000 puzzles (3800000 successful)
Processed 3850000 puzzles (3850000 successful)
Processed 3900000 puzzles (3900000 successful)
Processed 3950000 puzzles (3950000 successful)
Processed 4000000 puzzles (4000000 successful)
Processed 4050000 puzzles (4050000 successful)
Processed 4100000 puzzles (4100000 successful)
Processed 4150000 puzzles (4150000 successful)
Processed 4200000 puzzles (4200000 successful)
Processed 4250000 puzzles (4250000 successful)
Processed 4300000 puzzles (4300000 successful)
Processed 4350000 puzzles (4350000 successful)
Processed 4400000 puzzles (4400000 successful)
Processed 4450000 puzzles (4450000 successful)
Processed 4500000 puzzles (4500000 successful)
Processed 4550000 puzzles (4550000 successful)
Processed 4600000 puzzles (4600000 successful)
Processed 4650000 puzzles (4650000 successful)
Processed 4700000 puzzles (4700000 successful)
Processed 4750000 puzzles (4750000 successful)
Processed 4800000 puzzles (4800000 successful)
Processed 4850000 puzzles (4850000 successful)
Processed 4900000 puzzles (4900000 successful)
Processed 4950000 puzzles (4950000 successful)
Processed 5000000 puzzles (5000000 successful)
Processed 5050000 puzzles (5050000 successful)
Processed 5100000 puzzles (5100000 successful)
Processed 5150000 puzzles (5150000 successful)
Processed 5200000 puzzles (5200000 successful)
Processed 5250000 puzzles (5250000 successful)
Processed 5300000 puzzles (5300000 successful)
Processed 5350000 puzzles (5350000 successful)
Processed 5400000 puzzles (5400000 successful)
Processed 5450000 puzzles (5450000 successful)
Processed 5500000 puzzles (5500000 successful)
Processed 5550000 puzzles (5550000 successful)
Processed 5600000 puzzles (5600000 successful)
Processed 5650000 puzzles (5650000 successful)
Processed 5700000 puzzles (5700000 successful)
Processed 5750000 puzzles (5750000 successful)
Processed 5800000 puzzles (5800000 successful)
Processed 5850000 puzzles (5850000 successful)
Processed 5900000 puzzles (5900000 successful)
Processed 5950000 puzzles (5950000 successful)
Processed 6000000 puzzles (6000000 successful)
Processed 6050000 puzzles (6050000 successful)
Processed 6100000 puzzles (6100000 successful)
Processed 6150000 puzzles (6150000 successful)
Processed 6200000 puzzles (6200000 successful)
Processed 6250000 puzzles (6250000 successful)
Processed 6300000 puzzles (6300000 successful)
Processed 6350000 puzzles (6350000 successful)
Processed 6400000 puzzles (6400000 successful)
Processed 6450000 puzzles (6450000 successful)
Processed 6500000 puzzles (6500000 successful)
Processed 6550000 puzzles (6550000 successful)
Processed 6600000 puzzles (6600000 successful)
Processed 6650000 puzzles (6650000 successful)
Processed 6700000 puzzles (6700000 successful)
Processed 6750000 puzzles (6750000 successful)
Processed 6800000 puzzles (6800000 successful)
Processed 6850000 puzzles (6850000 successful)
Processed 6900000 puzzles (6900000 successful)
Processed 6950000 puzzles (6950000 successful)
Processed 7000000 puzzles (7000000 successful)
Processed 7050000 puzzles (7050000 successful)
Processed 7100000 puzzles (7100000 successful)
Processed 7150000 puzzles (7150000 successful)
Processed 7200000 puzzles (7200000 successful)
Processed 7250000 puzzles (7250000 successful)
Processed 7300000 puzzles (7300000 successful)
Processed 7350000 puzzles (7350000 successful)
Processed 7400000 puzzles (7400000 successful)
Processed 7450000 puzzles (7450000 successful)
Processed 7500000 puzzles (7500000 successful)
Processed 7550000 puzzles (7550000 successful)
Processed 7600000 puzzles (7600000 successful)
Processed 7650000 puzzles (7650000 successful)
Processed 7700000 puzzles (7700000 successful)
Processed 7750000 puzzles (7750000 successful)
Processed 7800000 puzzles (7800000 successful)
Processed 7850000 puzzles (7850000 successful)
Processed 7900000 puzzles (7900000 successful)
Processed 7950000 puzzles (7950000 successful)
Processed 8000000 puzzles (8000000 successful)
Processed 8050000 puzzles (8050000 successful)
Processed 8100000 puzzles (8100000 successful)
Processed 8150000 puzzles (8150000 successful)
Processed 8200000 puzzles (8200000 successful)
Processed 8250000 puzzles (8250000 successful)
Processed 8300000 puzzles (8300000 successful)
Processed 8350000 puzzles (8350000 successful)
Processed 8400000 puzzles (8400000 successful)
Processed 8450000 puzzles (8450000 successful)
Processed 8500000 puzzles (8500000 successful)
Processed 8550000 puzzles (8550000 successful)
Processed 8600000 puzzles (8600000 successful)
Processed 8650000 puzzles (8650000 successful)
Processed 8700000 puzzles (8700000 successful)
Processed 8750000 puzzles (8750000 successful)
Processed 8800000 puzzles (8800000 successful)
Processed 8850000 puzzles (8850000 successful)
Processed 8900000 puzzles (8900000 successful)
Processed 8950000 puzzles (8950000 successful)
Processed 9000000 puzzles (9000000 successful)
Solved 9000000 puzzles (100.0%) in 10m 5.61s total
Average 0.01160 seconds per puzzle
Total guesses: 495906 (avg 0.06 per puzzle)

